200 2
-7932 -1641 1
-6136 6235 1
-6924 5987 1
-9071 2774 1
4181 9905 1
-9930 4595 1
-9268 -9166 1
4349 6247 1
-2830 5061 1
3638 8234 1
-6723 -3908 1
902 6411 1
3832 6637 1
-3779 -59 1
-688 9254 1
2890 9301 1
-8868 5737 1
-2045 3248 1
2030 7984 1
4384 6661 1
-6463 -4635 1
2142 6047 1
-9030 5379 1
-8575 110 1
-4475 6458 1
-3462 7683 1
3254 6836 1
1267 8934 1
1577 5045 1
-1176 7957 1
2573 6794 1
-5764 6997 1
-3451 6539 1
3547 5891 1
1692 3580 1
851 5013 1
-8936 -7691 1
-7272 -9453 1
-3950 1287 1
-4512 -4769 1
-1637 7282 1
-4490 -1057 1
-350 4900 1
552 6270 1
-9225 224 1
-1694 6716 1
-3148 9846 1
-8842 -4749 1
4604 6591 1
3981 7849 1
-2771 6928 1
2941 8870 1
527 3969 1
-8073 -215 1
-5881 -3048 1
-8445 40 1
-7682 -7495 1
-4815 3638 1
-4379 6675 1
-8773 2386 1
-3433 1369 1
-6755 -3257 1
-9436 661 1
-9407 -4856 1
-3418 740 1
1112 4066 1
-3019 -1266 1
-6840 2427 1
-7859 -8676 1
-7225 -5641 1
-4439 -4542 1
-1217 887 1
-1634 2063 1
-6267 -457 1
-2293 9792 1
-6583 510 1
-8717 3324 1
-7601 2460 1
-5172 -5903 1
-7488 8704 1
-1259 1957 1
-315 8496 1
-6469 -8500 1
-9523 -6995 1
-8688 -3842 1
-2147 9229 1
-6213 4776 1
-4515 -2089 1
-4791 -6630 1
-6718 -3196 1
-9106 -9655 1
-315 9549 1
494 4741 1
-7896 399 1
-6350 -1805 1
-2948 7791 1
-1926 1812 1
-7333 -799 1
-7070 4677 1
-7034 8821 1
4729 5475 0
2440 -3120 0
-1272 -2503 0
9371 -6650 0
402 -8997 0
7742 -9698 0
2492 -2902 0
3832 -9048 0
7290 -2735 0
8117 -2362 0
1328 -2434 0
-504 -9295 0
-287 -6038 0
6364 6558 0
3577 -4330 0
2279 -7166 0
7071 2887 0
9438 8946 0
2898 -4417 0
-2563 -9596 0
7968 -2392 0
9954 -9812 0
8395 -3266 0
3963 -8160 0
5765 1952 0
8678 8167 0
1341 -9948 0
7645 7699 0
9657 -9083 0
-2476 -4193 0
8048 9152 0
-4076 -6998 0
8057 -1634 0
4844 -9522 0
-785 -1822 0
-1197 -6412 0
-487 -7722 0
5525 -6258 0
2667 1251 0
3793 -3838 0
-1532 -6436 0
4145 -9317 0
-2614 -9414 0
3020 -5200 0
4774 -2686 0
7168 -8994 0
170 -239 0
8512 -1730 0
-5727 -9722 0
8374 -8757 0
9353 -2869 0
8687 5102 0
8789 4187 0
9380 -3639 0
6134 -6578 0
2782 -298 0
6519 6378 0
3184 -780 0
8460 -5571 0
7945 1268 0
7509 5877 0
7450 -2311 0
7637 -3021 0
9668 6577 0
1104 1151 0
6017 -5564 0
9005 8061 0
1171 -6241 0
9249 2388 0
8032 -2669 0
8546 -7321 0
7508 -6254 0
5001 -917 0
-309 -9594 0
3551 -6228 0
3796 -4690 0
4258 2396 0
7791 -365 0
8030 -1696 0
5631 305 0
402 -8701 0
2822 266 0
3060 -7936 0
9709 4938 0
5366 1660 0
-1510 -3996 0
7748 -3189 0
71 -3472 0
1105 -2547 0
2796 53 0
8973 -77 0
8973 9529 0
-2785 -9332 0
8062 -7676 0
5363 -4947 0
751 -7473 0
6688 -4323 0
15 -6497 0
-382 -5861 0
-3225 -5357 0
